Diretorio,Estacao,Ano,Mes,Arquivo.zip,Arquivo_extraido,Tamanho_Bytes,Status,Msg_Erro,Processado
plv,Alto_da_boa_vista,1997,1,dados_pluviometricos_1997.zip,alto_da_boa_vista_199701_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1997,1,dados_meteorologicos_1997.zip,alto_da_boa_vista_199701_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1997,2,dados_pluviometricos_1997.zip,alto_da_boa_vista_199702_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1997,2,dados_meteorologicos_1997.zip,alto_da_boa_vista_199702_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1997,3,dados_pluviometricos_1997.zip,alto_da_boa_vista_199703_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1997,3,dados_meteorologicos_1997.zip,alto_da_boa_vista_199703_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1997,4,dados_pluviometricos_1997.zip,alto_da_boa_vista_199704_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1997,4,dados_meteorologicos_1997.zip,alto_da_boa_vista_199704_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1997,5,dados_pluviometricos_1997.zip,alto_da_boa_vista_199705_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1997,5,dados_meteorologicos_1997.zip,alto_da_boa_vista_199705_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1997,6,dados_pluviometricos_1997.zip,alto_da_boa_vista_199706_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1997,6,dados_meteorologicos_1997.zip,alto_da_boa_vista_199706_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1997,7,dados_pluviometricos_1997.zip,alto_da_boa_vista_199707_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1997,7,dados_meteorologicos_1997.zip,alto_da_boa_vista_199707_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1997,8,dados_pluviometricos_1997.zip,alto_da_boa_vista_199708_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1997,8,dados_meteorologicos_1997.zip,alto_da_boa_vista_199708_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1997,9,dados_pluviometricos_1997.zip,alto_da_boa_vista_199709_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1997,9,dados_meteorologicos_1997.zip,alto_da_boa_vista_199709_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1997,10,dados_pluviometricos_1997.zip,alto_da_boa_vista_199710_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1997,10,dados_meteorologicos_1997.zip,alto_da_boa_vista_199710_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1997,11,dados_pluviometricos_1997.zip,alto_da_boa_vista_199711_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1997,11,dados_meteorologicos_1997.zip,alto_da_boa_vista_199711_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1997,12,dados_pluviometricos_1997.zip,alto_da_boa_vista_199712_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1997,12,dados_meteorologicos_1997.zip,alto_da_boa_vista_199712_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1998,1,dados_pluviometricos_1998.zip,alto_da_boa_vista_199801_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1998,1,dados_meteorologicos_1998.zip,alto_da_boa_vista_199801_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1998,2,dados_pluviometricos_1998.zip,alto_da_boa_vista_199802_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1998,2,dados_meteorologicos_1998.zip,alto_da_boa_vista_199802_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1998,3,dados_pluviometricos_1998.zip,alto_da_boa_vista_199803_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1998,3,dados_meteorologicos_1998.zip,alto_da_boa_vista_199803_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1998,4,dados_pluviometricos_1998.zip,alto_da_boa_vista_199804_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1998,4,dados_meteorologicos_1998.zip,alto_da_boa_vista_199804_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1998,5,dados_pluviometricos_1998.zip,alto_da_boa_vista_199805_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1998,5,dados_meteorologicos_1998.zip,alto_da_boa_vista_199805_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1998,6,dados_pluviometricos_1998.zip,alto_da_boa_vista_199806_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1998,6,dados_meteorologicos_1998.zip,alto_da_boa_vista_199806_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1998,7,dados_pluviometricos_1998.zip,alto_da_boa_vista_199807_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1998,7,dados_meteorologicos_1998.zip,alto_da_boa_vista_199807_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1998,8,dados_pluviometricos_1998.zip,alto_da_boa_vista_199808_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1998,8,dados_meteorologicos_1998.zip,alto_da_boa_vista_199808_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1998,9,dados_pluviometricos_1998.zip,alto_da_boa_vista_199809_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1998,9,dados_meteorologicos_1998.zip,alto_da_boa_vista_199809_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1998,10,dados_pluviometricos_1998.zip,alto_da_boa_vista_199810_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1998,10,dados_meteorologicos_1998.zip,alto_da_boa_vista_199810_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1998,11,dados_pluviometricos_1998.zip,alto_da_boa_vista_199811_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1998,11,dados_meteorologicos_1998.zip,alto_da_boa_vista_199811_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1998,12,dados_pluviometricos_1998.zip,alto_da_boa_vista_199812_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1998,12,dados_meteorologicos_1998.zip,alto_da_boa_vista_199812_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1999,1,dados_pluviometricos_1999.zip,alto_da_boa_vista_199901_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1999,1,dados_meteorologicos_1999.zip,alto_da_boa_vista_199901_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1999,2,dados_pluviometricos_1999.zip,alto_da_boa_vista_199902_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1999,2,dados_meteorologicos_1999.zip,alto_da_boa_vista_199902_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1999,3,dados_pluviometricos_1999.zip,alto_da_boa_vista_199903_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,1999,3,dados_meteorologicos_1999.zip,alto_da_boa_vista_199903_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,1999,4,dados_pluviometricos_1999.zip,alto_da_boa_vista_199904_Plv.txt,190,SUCESSO,,
